key,description,en,fr_auto
,,,#VALUE!
,menu,,#VALUE!
home.en,,Home,Accueil
menu.1,,Fitness,Fitness
menu.2,,Water sports,sports nautiques
menu.3,,Cycling,Vélo
menu.4,,Golf,Golf
menu.5,,Entertainment,Divertissement
menu.6,,Camping-Hiking,Camping-Randonnée
,,,#VALUE!
descripton.1,,"At Sport4All, you’ll find essential equipment and accessories designed to support your training goals at every level. From home workouts to strength and cardio sessions, our selection focuses on practical, reliable, and affordable gear. Sourced directly from manufacturers, our products combine functionality and value, helping you stay active, improve performance, and train effectively without paying premium prices.","Chez Sport4All, vous trouverez l'équipement et les accessoires indispensables pour atteindre vos objectifs d'entraînement, quel que soit votre niveau. Des séances à domicile aux entraînements de musculation et de cardio, notre sélection privilégie des équipements pratiques, fiables et abordables. Provenant directement des fabricants, nos produits allient fonctionnalité et excellent rapport qualité-prix, vous permettant de rester actif, d'améliorer vos performances et de vous entraîner efficacement sans vous ruiner."
descripton.2,,"Enjoy the water with reliable equipment designed for leisure, training, and adventure. Our selection includes practical and affordable gear for activities on the sea, lakes, and rivers. Sourced directly from manufacturers, these products focus on durability, comfort, and performance. Whether for fun or sport, you’ll find accessible solutions that help you make the most of every moment on the water—without paying premium prices.","Profitez pleinement de l'eau grâce à un équipement fiable conçu pour les loisirs, l'entraînement et l'aventure. Notre sélection comprend du matériel pratique et abordable pour les activités en mer, sur les lacs et les rivières. Provenant directement des fabricants, ces produits privilégient la durabilité, le confort et la performance. Que ce soit pour le plaisir ou le sport, vous trouverez des solutions accessibles qui vous permettront de profiter au maximum de chaque instant sur l'eau, sans vous ruiner."
