key,description,en,de_auto
,,,#VALUE!
,menu,,#VALUE!
home.en,,Home,Startseite
menu.1,,Fitness,Fitness
menu.2,,Water sports,Wassersport
menu.3,,Cycling,Radfahren
menu.4,,Golf,Golf
menu.5,,Entertainment,Unterhaltung
menu.6,,Camping-Hiking,Camping und Wandern
,,,#VALUE!
descripton.1,,"At Sport4All, you’ll find essential equipment and accessories designed to support your training goals at every level. From home workouts to strength and cardio sessions, our selection focuses on practical, reliable, and affordable gear. Sourced directly from manufacturers, our products combine functionality and value, helping you stay active, improve performance, and train effectively without paying premium prices.","Bei Sport4All finden Sie die nötige Ausrüstung und das passende Zubehör, um Ihre Trainingsziele auf jedem Niveau zu unterstützen. Ob Heimtraining oder Kraft- und Ausdauertraining – unsere Auswahl umfasst praktische, zuverlässige und erschwingliche Produkte. Direkt vom Hersteller bezogen, vereinen unsere Produkte Funktionalität und Wert und helfen Ihnen, aktiv zu bleiben, Ihre Leistung zu steigern und effektiv zu trainieren, ohne dafür Premiumpreise zahlen zu müssen."
descripton.2,,"Enjoy the water with reliable equipment designed for leisure, training, and adventure. Our selection includes practical and affordable gear for activities on the sea, lakes, and rivers. Sourced directly from manufacturers, these products focus on durability, comfort, and performance. Whether for fun or sport, you’ll find accessible solutions that help you make the most of every moment on the water—without paying premium prices.","Genießen Sie das Wasser mit zuverlässiger Ausrüstung für Freizeit, Training und Abenteuer. Unser Sortiment umfasst praktische und preisgünstige Ausrüstung für Aktivitäten auf dem Meer, Seen und Flüssen. Direkt vom Hersteller bezogen, zeichnen sich diese Produkte durch Langlebigkeit, Komfort und Leistungsfähigkeit aus. Ob zum Vergnügen oder für sportliche Höchstleistungen – bei uns finden Sie passende Lösungen, mit denen Sie jeden Moment auf dem Wasser optimal nutzen können, ohne dafür ein Vermögen auszugeben."
