key,description,en,pl_auto
,,,#VALUE!
,menu,,#VALUE!
home.en,,Home,Strona startowa
menu.1,,Fitness,Zdatność
menu.2,,Water sports,Sporty wodne
menu.3,,Cycling,Kolarstwo
menu.4,,Golf,Golf
menu.5,,Entertainment,Rozrywka
menu.6,,Camping-Hiking,Kemping-Wędrówki
,,,#VALUE!
descripton.1,,"At Sport4All, you’ll find essential equipment and accessories designed to support your training goals at every level. From home workouts to strength and cardio sessions, our selection focuses on practical, reliable, and affordable gear. Sourced directly from manufacturers, our products combine functionality and value, helping you stay active, improve performance, and train effectively without paying premium prices.","W Sport4All znajdziesz niezbędny sprzęt i akcesoria, które pomogą Ci osiągnąć cele treningowe na każdym poziomie zaawansowania. Od treningów domowych po treningi siłowe i cardio, nasza oferta koncentruje się na praktycznym, niezawodnym i niedrogim sprzęcie. Pochodzące bezpośrednio od producentów produkty łączą funkcjonalność i wartość, pomagając Ci zachować aktywność, poprawić wyniki i trenować efektywnie bez płacenia wysokich cen."
descripton.2,,"Enjoy the water with reliable equipment designed for leisure, training, and adventure. Our selection includes practical and affordable gear for activities on the sea, lakes, and rivers. Sourced directly from manufacturers, these products focus on durability, comfort, and performance. Whether for fun or sport, you’ll find accessible solutions that help you make the most of every moment on the water—without paying premium prices.","Ciesz się wodą z niezawodnym sprzętem zaprojektowanym do wypoczynku, treningu i przygody. Nasza oferta obejmuje praktyczny i niedrogi sprzęt do aktywności na morzu, jeziorach i rzekach. Produkty te, pochodzące bezpośrednio od producentów, charakteryzują się trwałością, komfortem i wydajnością. Niezależnie od tego, czy szukasz sprzętu rekreacyjnego, czy sportowego, znajdziesz u nas przystępne cenowo rozwiązania, które pomogą Ci w pełni wykorzystać każdą chwilę na wodzie – bez konieczności płacenia wysokich cen."
