key,description,en,es_auto
,,,#VALUE!
,menu,,#VALUE!
home.en,,Home,Inicio
menu.1,,Fitness,Aptitud física
menu.2,,Water sports,Deportes acuáticos
menu.3,,Cycling,Ciclismo
menu.4,,Golf,Golf
menu.5,,Entertainment,Entretenimiento
menu.6,,Camping-Hiking,Camping-Senderismo
,,,#VALUE!
descripton.1,,"At Sport4All, you’ll find essential equipment and accessories designed to support your training goals at every level. From home workouts to strength and cardio sessions, our selection focuses on practical, reliable, and affordable gear. Sourced directly from manufacturers, our products combine functionality and value, helping you stay active, improve performance, and train effectively without paying premium prices.","En Sport4All, encontrarás equipos y accesorios esenciales diseñados para ayudarte a alcanzar tus objetivos de entrenamiento en todos los niveles. Desde entrenamientos en casa hasta sesiones de fuerza y ​​cardio, nuestra selección se centra en equipos prácticos, fiables y asequibles. Procedentes directamente de los fabricantes, nuestros productos combinan funcionalidad y valor, ayudándote a mantenerte activo, mejorar tu rendimiento y entrenar eficazmente sin pagar precios elevados."
descripton.2,,"Enjoy the water with reliable equipment designed for leisure, training, and adventure. Our selection includes practical and affordable gear for activities on the sea, lakes, and rivers. Sourced directly from manufacturers, these products focus on durability, comfort, and performance. Whether for fun or sport, you’ll find accessible solutions that help you make the most of every moment on the water—without paying premium prices.","Disfruta del agua con equipos fiables diseñados para el ocio, el entrenamiento y la aventura. Nuestra selección incluye equipos prácticos y asequibles para actividades en el mar, lagos y ríos. Procedentes directamente de los fabricantes, estos productos se centran en la durabilidad, la comodidad y el rendimiento. Ya sea por diversión o por deporte, encontrarás soluciones accesibles que te ayudarán a aprovechar al máximo cada momento en el agua, sin pagar precios desorbitados."
