key,description,en
,,
,menu,
home.en,,Home
menu.1,,Fitness
menu.2,,Water sports
menu.3,,Cycling
menu.4,,Golf
menu.5,,Entertainment
menu.6,,Camping-Hiking
,,
descripton.1,,"At Sport4All, you’ll find essential equipment and accessories designed to support your training goals at every level. From home workouts to strength and cardio sessions, our selection focuses on practical, reliable, and affordable gear. Sourced directly from manufacturers, our products combine functionality and value, helping you stay active, improve performance, and train effectively without paying premium prices."
descripton.2,,"Enjoy the water with reliable equipment designed for leisure, training, and adventure. Our selection includes practical and affordable gear for activities on the sea, lakes, and rivers. Sourced directly from manufacturers, these products focus on durability, comfort, and performance. Whether for fun or sport, you’ll find accessible solutions that help you make the most of every moment on the water—without paying premium prices."
descripton.3,,"Discover reliable gear designed to support every ride, from daily commutes to long-distance adventures. Our selection includes practical and affordable equipment and accessories focused on comfort, safety, and performance. Sourced directly from manufacturers, these products offer excellent value and durability. Whether you ride for leisure, training, or exploration, you’ll find everything you need to enjoy cycling with confidence—without paying premium prices."
descripton.4,,"Enjoy every round with reliable equipment and accessories designed for precision, comfort, and performance on the course. Our selection focuses on practical and affordable gear suitable for practice and play. Sourced directly from manufacturers, these products deliver excellent value while supporting consistency and control. Whether you are improving your swing or enjoying a casual game, you’ll find the essentials to play with confidence—without paying premium prices."
descripton.5,,"Discover a range of fun and engaging products designed to enhance leisure time for all ages. Our selection includes practical and affordable items for indoor and outdoor enjoyment, perfect for relaxing moments, games, and social activities. Sourced directly from manufacturers, these products focus on simplicity, durability, and value, helping you enjoy everyday entertainment without paying premium prices."
descripton.6,,"Prepare for the outdoors with reliable gear designed for comfort, safety, and practicality on every adventure. Our selection includes affordable equipment and accessories suited for camping trips and hiking excursions. Sourced directly from manufacturers, these products focus on durability, lightweight design, and ease of use. Whether exploring trails or spending nights in nature, you’ll find essential gear to enjoy the outdoors with confidence—without paying premium prices.

"
,,
meta.title.menu.1,,"Fitness Equipment & Training Gear at Factory Prices | Sport4All
"
meta.title.menu.2,,"Water Sports Gear & Accessories at Factory Prices | Sport4All
"
meta.title.menu.3,,"Cycling Gear & Accessories at Factory Prices | Sport4All
"
meta.title.menu.4,,"Golf Equipment & Accessories at Factory Prices | Sport4All
"
meta.title.menu.5,,"Entertainment & Leisure Products at Factory Prices | Sport4All
"
meta.title.menu.6,,"Camping & Hiking Gear at Factory Prices | Sport4All
"
,,
meta.des.menu.1,,Affordable fitness equipment and training accessories sourced directly from manufacturers. Train at home or at the gym with reliable gear at factory prices.
meta.des.menu.2,,"Discover affordable water sports equipment for sea, lake, and river activities. Durable and reliable gear sourced directly from manufacturers."
meta.des.menu.3,,"Shop affordable cycling equipment and accessories designed for comfort, safety, and performance. Factory-direct prices for every ride."
meta.des.menu.4,,Explore affordable golf gear and accessories for practice and play. Reliable equipment sourced directly from manufacturers at factory prices.
meta.des.menu.5,,"Find fun and affordable entertainment products for indoor and outdoor leisure. Practical, durable items sourced directly from manufacturers."
meta.des.menu.6,,Discover affordable camping and hiking equipment built for comfort and durability. Outdoor gear sourced directly from manufacturers at factory prices.
,,
,,
,,
,Footer,
,,
footer.link.home,Lien footer Accueil,Home
footer.link.sitemap,Lien footer Plan du site,Site map
footer.link.conditions,Lien footer Conditions,Terms of Use
footer.link.mentions,Lien footer Mentions légales,Legal notice
footer.link.policy,Lien footer Politique,Privacy Policy
footer.link.aboutus,Lien footer about us,About us
,,
,,
legal.conditions.title,Titre page Conditions d'utilisation,Terms of Use - AliExpress Affiliate Program
legal.mentions.title,Titre page Mentions légales,Legal Notice - AliExpress Affiliate Program
legal.policy.title,Titre page Politique de confidentialité,Privacy Policy - AliExpress Affiliate Program
legal.aboutus.title,Titre page about us,About us – SPORT4ALL
,,
legal.conditions.meta.description,Description SEO Conditions,AliExpress Affiliate Site Terms of Use
legal.mentions.meta.description,Description SEO Mentions légales,Legal notices for the AliExpress affiliate website
legal.policy.meta.description,Description SEO Politique,AliExpress Affiliate Site Privacy Policy
legal.aboutus.meta.description,Description SEO About us,"Learn more about Sport4All, a platform promoting sports, fitness, outdoor, and leisure equipment sourced directly from manufacturers through trusted partners, offering factory-level prices for everyone."
,,
legal.conditions.content,,"<h1>Terms of Use - AliExpress Affiliate Program</h1>
<p style=""margin-bottom: 2rem;"">Terms of Use Last updated: 2024</p>
<p style=""margin-bottom: 2rem;"">1. Acceptance of Terms By accessing and using this website, you agree to be bound by these terms of use. If you do not agree to these terms, please do not use this site.</p>
<p style=""margin-bottom: 2rem;"">2. Description of Service This site is an affiliate site that provides links to products available on AliExpress. We do not sell the products directly, but earn a commission on sales made through our affiliate links.</p>
<p style=""margin-bottom: 2rem;"">3. Affiliate Links All links to AliExpress are affiliate links. By clicking on these links and making a purchase, we may receive a commission at no additional cost to you.</p>
<p style=""margin-bottom: 2rem;"">4. Liability We are not responsible for the quality, availability, or delivery of products sold on AliExpress. All disputes concerning products must be resolved directly with AliExpress or the seller.</p>
<p style=""margin-bottom: 2rem;"">5. Intellectual Property The content of this site, including text, images, and logos, is protected by intellectual property laws. Any unauthorized reproduction is prohibited.</p>
<p style=""margin-bottom: 2rem;"">6. Modifications We reserve the right to modify these terms of use at any time. Modifications will take effect immediately upon their posting on the website.</p>
<p style=""margin-bottom: 2rem;"">7. Contact For any questions regarding these terms of use, you can contact us at: contact@evanstudio.com</p>
"
,,
